City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
637,Loiza,PR,84.2,scattered clouds,18.4313,-65.8802,Malibu Beachfront
638,Lodwar,KE,80.15,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
641,Eydhafushi,MV,82.9,overcast clouds,5.1033,73.0708,Soneva Fushi
643,Mersing,MY,83.86,scattered clouds,2.4312,103.8405,Timotel Hotel
645,Sebastian,US,79.36,clear sky,35.1668,-94.2669,
646,Pangai,TO,75.76,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
650,Kloulklubed,PW,81.1,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
653,Barreirinhas,BR,79.43,broken clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
658,Maine-Soroa,NE,84.15,overcast clouds,13.2114,12.0241,Complexe
659,Tautira,PF,82.42,broken clouds,-17.7333,-149.15,Pension Oaoa
662,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
663,Kinkala,CG,73.06,overcast clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
665,Boa Vista,BR,82.38,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
666,Road Town,VG,83.19,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
667,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
669,Chichimila,MX,78.98,overcast clouds,20.6167,-88.2167,Casa Kiin
